"year","economy","economycode","regionwb","pop_adult","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity","account_fin","account_mob","account","dig_account","borrowed","saved","receive_wages","receive_transfers","receive_pensions","receive_agriculture","merchantpay_dig","pay_utilities","domestic_remittances","anydigpayment","fin2","fin3","fin4","fin5","fin6","fin7","fin8","fin9a","fin9b","fin10","fin11_0","fin11_1","fin11_2","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin13_1","fin13a","fin13b","fin13c","fin13d","fin13e","fin13f","fin13f_1","fin14a","fin14b","fin14c","fin14d","fin14e","fin15","fin16","fin17a","fin17b","fin17c","fin17d","fin17e","fin17f","fin18","fin19","fin20","fin21","fin22a","fin22a_1","fin22b","fin22c","fin22d","fin22e","fin22f","fin22g","fin22h","fin23","fin24","fin24a","fin24b","fin24c","fin24d1","fin24d2","fin24d3","fin25e1","fin25e2","fin25e3","fin25e4","fin26a","fin26b","fin27","fh1","fin28","fh2","fin29","fh2a","fin30","fin31a","fin31b","fin31c","fin31d","fin32","fin33","fin34a","fin34b","fin34c","fin34d","fin35","fin36","fin36a","fin37","fin38","fin39a","fin39b","fin39c","fin39d","fin40","fin41","fin41a","fin42","fin43a","fin43b","fin43c","fin43d","fin44","fin45","internet_use","con1","con2a","con2b","con2c","con2d","con2e","con2f","con2g","con3","con4","con5","con6","con7","con8","con9","con10","con11","con12","con13","con14","con15","con16","con17","con18","con19","con20","con21","con22","con23","con24","con25","con26","con27","con28","con29","con30a","con30b","con30c","con30d","con30e","con30f","con30g","con30h","con31a","con31b","con31c","con31d","con31e","con31f","con31g","con31h","con32"
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,202953522,1.48356425114532,2,63,1,3,2,1,0,0,0,0,1,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,1,2,1,,,,2,1,3,1,1,2,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,1,0,1,,,,,,,,,,,,,,2,2,2,2,,2,,,2,2,,1,1,2,2,2,2,,,,,,,,,,,,,2,2,2,1,2,2,2,2,4
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,165203814,0.633359494173624,1,40,2,4,2,1,1,0,1,0,1,0,1,4,1,4,0,4,3,1,2,2,1,2,2,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,1,,1,,1,2,2,,,,2,1,1,2,,,,2,2,,1,2,1,2,2,,2,,2,2,,,,,1,2,1,2,,,2,1,,2,1,1,2,,,1,2,,2,,,,,,4,1,1,,,,,,,,,,,,,,2,2,2,1,,2,,,4,1,2,1,2,,2,2,1,1,1,3,,1,8,1,1,2,2,2,1,1,2,2,2,2,2,1,2,1
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,157833511,1.5124362236736,1,48,1,5,2,1,0,0,0,0,0,0,4,4,4,4,0,4,2,0,2,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,2,1,1,2,1,,,,,,,,,2,,1,2,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,2,1,2,1,2,,2,1,,1,2,,2,1,1,2,2,2,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,187406581,2.19763396640064,1,18,1,1,2,2,0,0,0,0,1,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,2,2,2,2,1,1,3,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,2,2,2,,,,2,1,4,2,,,,,,,,,,,2,,2,,1,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,0,1,,,,,,,,,,,,,,2,1,2,1,,1,,1,1,1,1,1,2,,2,2,2,,,,,,,,,,,,,1,1,2,2,1,1,2,2,1
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,201600672,2.17703031200849,2,17,2,5,2,2,0,0,0,0,1,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,2,2,2,,,,2,1,5,1,2,2,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,1,0,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,2,2,,2,2,2,,,,,2,1,2,2,2,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,155453933,1.61801806456869,1,17,2,4,2,1,0,0,0,0,0,0,4,4,4,4,0,4,1,0,2,,,,,,,,,,2,2,1,2,1,2,2,1,1,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,1,3,4,1,2,2,,,,,,,,,1,1,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,1,1,1,1,2,,2,1,,1,2,,2,1,1,1,1,1,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,140978707,0.68183435116773,1,39,1,3,2,2,1,0,1,0,1,0,4,4,4,4,0,4,1,1,1,2,2,4,4,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,1,2,1,,,,2,1,6,2,,,,2,2,,4,2,2,,1,1,2,,1,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,2,1,,2,,,2,1,1,2,2,,1,1,,1,1,3,,1,1,2,2,1,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,138338265,1.21223979160827,1,21,2,4,2,2,1,0,1,0,0,0,4,4,4,4,0,4,3,0,1,2,1,4,4,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,3,4,1,2,2,2,2,2,,1,2,2,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,1,1,1,2,2,,2,1,,1,2,,1,1,1,1,1,2,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,121981056,2.19763396640064,2,23,1,4,1,1,0,0,0,0,1,0,4,4,4,4,0,2,3,0,2,,,,,,,,,,2,2,1,2,2,2,1,1,2,,,,,,,,,,,,,,,,2,,2,,,,2,1,2,,2,,1,,2,2,1,,,,2,2,4,2,,,,,,,,,,,2,,2,,2,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,2,,,,,,1,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,2,2,,2,1,,1,1,3,,1,1,1,1,2,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,188680407,0.76121578006124,1,28,3,4,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,2,2,2,2,1,2,3,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,1,1,2,,,,,,,,,,,2,,2,,1,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,2,2,1,2,,2,,,1,2,,1,2,,2,2,1,1,1,3,,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,135740606,1.77695275609438,1,21,2,1,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,2,1,3,1,1,1,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,1,2,1,1,2,2,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,0,1,,,,,,,,,,,,,,2,2,2,1,,2,,,2,2,,2,2,,2,2,2,,,,,,,,,,,,,1,2,2,2,2,2,2,1,1
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,194069908,0.779402404757875,2,54,1,1,2,1,0,0,0,0,1,0,4,2,4,4,0,2,3,0,2,,,,,,,,,,2,2,1,1,2,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,1,,,2,7,,1,1,2,1,,,,,,,,,2,,2,,2,1,2,2,,1,2,,,,,,,,,1,2,2,2,1,,,,,2,,,,,,3,0,1,,,,,,,,,,,,,,2,2,1,4,1,2,,,2,2,,1,2,,2,2,2,,,,,,,,,,,,,1,2,2,1,2,2,2,2,1
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,198372963,0.566772245163656,1,72,1,3,2,2,1,0,1,0,0,1,1,4,1,4,0,2,3,1,1,2,1,2,3,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,2,2,,2,2,,2,,2,,2,2,2,,,2,3,4,1,2,,,,2,2,,4,2,2,,2,,2,,2,1,2,2,,1,1,1,1,2,,,2,1,,2,1,1,2,,,1,2,,2,,,,,,3,0,1,,,,,,,,,,,,,,2,2,2,2,,1,,2,2,2,,2,2,,2,2,2,,,,,,,,,,,,,2,2,2,1,2,2,2,1,8
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,170610816,0.783384230719822,2,35,1,3,1,2,0,0,0,0,0,0,4,4,4,4,0,2,3,0,2,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,2,2,1,2,2,,,,,,,,,2,,2,,2,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,4,1,1,2,2,,2,1,,1,2,,2,1,1,1,2,2,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,200585290,0.559952518584927,1,40,1,5,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,1,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,3,5,2,,,,,,,,,,,2,,2,,1,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,1,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,2,1,2,2,2,,2,1,,1,1,3,,1,1,1,2,2,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,139496182,0.582895917885101,2,46,1,5,1,2,1,0,1,0,1,0,4,4,4,4,0,2,2,0,2,2,1,4,2,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,1,2,,,2,7,,2,1,2,1,2,2,2,,1,2,2,,2,,1,2,2,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,0,2,2,2,2,2,2,2,2,,1,1,1,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,155716494,0.544828675374474,2,31,3,5,1,2,1,0,1,1,1,0,1,4,4,4,1,1,1,1,1,1,1,2,1,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,2,2,2,,,,3,2,4,1,2,2,2,1,1,1,,1,1,3,2,,1,1,2,1,1,2,,,1,1,1,2,,,2,2,,2,2,,,,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,2,2,,2,1,,1,1,2,,1,1,1,1,1,2,1,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,187778303,0.743000198669053,1,30,1,1,2,1,0,0,0,0,1,0,4,4,4,4,0,2,3,0,2,,,,,,,,,,2,1,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,1,2,1,,,,2,1,2,1,2,2,,,,,,,,,2,,2,,2,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,2,,,,,,2,1,1,,,,,,,,,,,,,,1,,2,2,,1,,1,4,1,1,1,2,,2,1,,2,1,2,,1,2,1,1,2,2,1,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,185696753,0.271048739699712,2,55,2,5,1,2,0,1,1,1,1,0,4,1,4,4,0,4,1,1,2,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,2,2,1,,,,3,1,3,1,1,2,,,,,,,,,1,1,2,,2,2,,,,,2,,,,,,,,,1,2,2,1,,,1,1,,2,,,,,,3,0,1,,,,,,,,,,,,,,2,2,1,3,,1,,2,2,1,2,2,2,,2,2,2,,,,,,,,,,,,,1,1,2,2,2,2,2,1,8
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,173160350,1.14460032478233,2,35,1,3,1,2,1,0,1,0,1,0,2,4,4,4,0,4,3,0,1,2,1,2,4,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,1,2,1,,,,5,1,2,1,2,2,2,2,2,,4,2,2,,2,,2,,2,2,,,,,1,2,2,2,1,,,,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,8,2,,2,1,,3,1,3,,1,1,1,1,1,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,155670639,0.568521668315607,2,27,3,5,1,2,1,0,1,1,0,0,1,4,4,4,1,4,3,1,1,1,1,2,2,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,3,3,2,1,2,2,2,2,2,,1,1,1,1,2,,2,,2,2,,,,,1,1,1,2,,,2,2,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,2,2,,2,1,,1,1,3,,1,1,1,1,1,2,1,1,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,145388703,1.01478423127218,2,19,2,3,2,1,1,0,1,0,1,0,4,4,4,4,0,4,3,0,1,2,2,4,4,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,1,,,2,2,1,1,1,2,2,2,2,2,,1,2,2,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,4,1,1,1,2,,2,1,,1,1,3,,1,1,1,1,1,2,2,1,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,157511049,1.5661282665511,1,18,2,1,2,1,0,0,0,0,1,0,4,2,4,4,0,4,3,0,2,,,,,,,,,,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,1,,,2,2,1,4,1,2,2,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,1,2,2,2,1,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,1,1,1,2,2,,2,1,,1,1,3,,2,1,1,1,2,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,130492323,0.668949234687439,2,25,1,5,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,1,1,4,2,,,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,0,1,,,,,,,,,,,,,,1,,1,1,,2,,,2,2,,2,2,,2,2,2,,,,,2,2,2,2,2,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,148795575,1.17510747894335,2,30,1,3,1,2,0,0,0,0,0,0,4,4,4,4,0,2,3,0,2,,,,,,,,,,2,2,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,1,1,4,1,2,2,,,,,,,,,2,,2,,2,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,0,2,1,1,2,1,2,1,2,1,2,,,,2,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,186290323,0.546864600005569,1,54,1,2,2,2,0,0,0,0,0,0,4,4,4,4,0,4,3,0,3,,,,,,,,,,2,2,3,2,3,2,1,1,3,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,9,,6,2,,,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,8,0,1,,,,,,,,,,,,,,1,,2,1,,2,,,2,2,,2,2,,2,2,2,,,,,2,2,2,2,2,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,207800623,1.24815440515053,1,62,1,2,2,1,1,0,1,0,0,1,4,4,4,4,0,2,3,0,1,2,2,3,5,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,1,2,2,,2,,2,,2,2,2,,,2,2,4,4,2,,,,2,2,,4,2,2,,2,,2,,2,1,2,2,,1,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,8,1,,2,,,2,1,2,1,2,,2,1,,1,2,,1,1,2,2,2,2,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,204412226,0.890907908486019,1,29,1,4,2,1,0,0,0,0,1,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,1,,1,2,2,,,,4,1,2,1,1,1,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,2,2,,1,2,,2,1,,2,1,4,,1,1,2,2,1,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,124571383,0.437150982931068,1,19,2,3,2,2,1,0,1,0,0,0,4,1,4,4,0,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,2,1,1,1,2,1,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,1,2,1,2,,,2,2,,2,,,,,,4,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,2,1,1,2,2,,2,2,1,1,1,3,,1,1,1,2,1,2,2,2,,,,,,,,,
2024,"Morocco","MAR","Middle East & North Africa (excluding high income)",27893979,121297620,0.900944160440345,1,40,1,1,2,1,0,0,0,0,0,0,4,4,4,4,0,4,3,0,2,,,,,,,,,,2,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,8,,5,1,2,1,,,,,,,,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,0,2,1,1,2,1,2,2,1,1,2,,,,1,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
